TRANSACTION,Transaction date,Account name,Transaction date,Original payee name from import,Transaction amount,Link to PAYEE record,Transaction memo
21119-3996-49,08-04-2025,Business Platinum Card®,08-04-2025,AAA,-61.00,P211195285,
21119-3996-50,08-04-2025,Business Platinum Card®,08-04-2025,AAA,-39.00,P211195285,
21119-3996-51,08-01-2023,Business Platinum Card®,08-01-2023,AAA MSHIP AUTORENEW PROVIDENCE RI XXXX1009,-58.00,P211195285,
21119-3996-53,05-14-2023,Business Platinum Card®,05-14-2023,ACADEMIA.EDU/PAYMENTSAN FRANCISCO CA XXXX1009,-74.50,P211195285,
21119-3996-54,09-12-2023,Business Platinum Card®,09-12-2023,ACADEMIA.EDU/PAYMENTSAN FRANCISCO CA XXXX1009,-86.50,P211195285,
21119-3996-55,05-14-2024,Business Platinum Card®,05-14-2024,ACADEMIA.EDU/PAYMENTSAN FRANCISCO CA XXXX1009,-124.00,P211195285,
21119-3996-56,09-12-2024,Business Platinum Card®,09-12-2024,ACADEMIA.EDU/PAYMENTSAN FRANCISCO CA XXXX1009,-124.00,P211195285,
21119-3996-59,11-05-2024,Business Platinum Card®,11-05-2024,ACTBLUE* KAMALA.HARRBOSTON MA XXXX1009,-47.00,P211195285,
21119-3996-60,07-12-2024,Business Platinum Card®,07-12-2024,ACTBLUE* P.TURNOUT SOMERVILLE MA XXXX1009,-15.00,P211195285,
21119-3996-61,10-24-2024,Business Platinum Card®,10-24-2024,ACTBLUE* STOP.TRUMP BOSTON MA XXXX1009,-30.00,P211195285,
21119-3996-62,02-21-2025,Chase Freedom,02-21-2025,AD PARKING,-5.33,P211195285,
21119-3996-63,10-13-2024,Chase Freedom,10-13-2024,ADAM'S MARKETPLACE,-10.19,P211195285,
21119-3996-73,03-01-2023,Business Platinum Card®,03-01-2023,ADOBE PRODUCTS AdobeSAN JOSE CA XXXX1009,-10.88,P211195285,
21119-3996-74,04-01-2023,Business Platinum Card®,04-01-2023,ADOBE PRODUCTS AdobeSAN JOSE CA XXXX1009,-10.88,P211195285,
21119-3996-75,05-01-2023,Business Platinum Card®,05-01-2023,ADOBE PRODUCTS AdobeSAN JOSE CA XXXX1009,-10.88,P211195285,
21119-3996-76,06-01-2023,Business Platinum Card®,06-01-2023,ADOBE PRODUCTS AdobeSAN JOSE CA XXXX1009,-10.88,P211195285,
21119-3996-77,07-01-2023,Business Platinum Card®,07-01-2023,ADOBE PRODUCTS AdobeSAN JOSE CA XXXX1009,-10.88,P211195285,
21119-3996-78,08-01-2023,Business Platinum Card®,08-01-2023,ADOBE PRODUCTS AdobeSAN JOSE CA XXXX1009,-10.88,P211195285,
21119-3996-79,09-01-2023,Business Platinum Card®,09-01-2023,ADOBE PRODUCTS AdobeSAN JOSE CA XXXX1009,-10.88,P211195285,
21119-3996-80,10-01-2023,Business Platinum Card®,10-01-2023,ADOBE PRODUCTS AdobeSAN JOSE CA XXXX1009,-10.88,P211195285,
21119-3996-81,12-01-2023,Business Platinum Card®,12-01-2023,ADOBE PRODUCTS AdobeSAN JOSE CA XXXX1009,-10.88,P211195285,
21119-3996-82,01-01-2024,Business Platinum Card®,01-01-2024,ADOBE PRODUCTS AdobeSAN JOSE CA XXXX1009,-10.88,P211195285,
21119-3996-104,08-05-2025,Amazon Business Prime Card,08-05-2025,AF FRUIT INC ASTORIA NY XXXX2003,-16.50,P211195285,
21119-3996-105,03-08-2023,Chase Bonvoy - old,03-08-2023,AGASERVICECO MAR TT,-284.43,P211195285,
21119-3996-106,03-24-2023,Business Platinum Card®,03-24-2023,"AIPRM, CORP. WILMINGTON DE XXXX1009",-20.00,P211195285,
21119-3996-107,04-24-2023,Business Platinum Card®,04-24-2023,"AIPRM, CORP. WILMINGTON DE XXXX1009",-20.00,P211195285,
21119-3996-108,05-24-2023,Business Platinum Card®,05-24-2023,"AIPRM, CORP. WILMINGTON DE XXXX1009",-20.00,P211195285,
21119-3996-109,06-24-2023,Business Platinum Card®,06-24-2023,"AIPRM, CORP. WILMINGTON DE XXXX1009",-20.00,P211195285,
21119-3996-110,07-24-2023,Business Platinum Card®,07-24-2023,"AIPRM, CORP. WILMINGTON DE XXXX1009",-20.00,P211195285,
21119-3996-111,08-24-2023,Business Platinum Card®,08-24-2023,"AIPRM, CORP. WILMINGTON DE XXXX1009",-20.00,P211195285,
21119-3996-112,09-24-2023,Business Platinum Card®,09-24-2023,"AIPRM, CORP. WILMINGTON DE XXXX1009",-20.00,P211195285,
21119-3996-113,10-24-2023,Business Platinum Card®,10-24-2023,"AIPRM, CORP. WILMINGTON DE XXXX1009",-20.00,P211195285,
21119-3996-114,11-24-2023,Business Platinum Card®,11-24-2023,"AIPRM, CORP. WILMINGTON DE XXXX1009",-20.00,P211195285,
21119-3996-115,12-24-2023,Business Platinum Card®,12-24-2023,"AIPRM, CORP. WILMINGTON DE XXXX1009",-20.00,P211195285,
21119-3996-116,01-24-2024,Business Platinum Card®,01-24-2024,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-117,02-24-2024,Business Platinum Card®,02-24-2024,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-118,03-24-2024,Business Platinum Card®,03-24-2024,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-119,04-24-2024,Business Platinum Card®,04-24-2024,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-120,05-24-2024,Business Platinum Card®,05-24-2024,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-121,06-24-2024,Business Platinum Card®,06-24-2024,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-122,07-24-2024,Business Platinum Card®,07-24-2024,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-123,08-24-2024,Business Platinum Card®,08-24-2024,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-124,09-24-2024,Business Platinum Card®,09-24-2024,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-125,10-24-2024,Business Platinum Card®,10-24-2024,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-126,11-24-2024,Business Platinum Card®,11-24-2024,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-127,12-24-2024,Business Platinum Card®,12-24-2024,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-128,01-24-2025,Business Platinum Card®,01-24-2025,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-129,02-24-2025,Business Platinum Card®,02-24-2025,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-130,03-24-2025,Business Platinum Card®,03-24-2025,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-131,04-24-2025,Business Platinum Card®,04-24-2025,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-132,05-24-2025,Business Platinum Card®,05-24-2025,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-133,06-24-2025,Business Platinum Card®,06-24-2025,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-134,07-24-2025,Business Platinum Card®,07-24-2025,"AIPRM, CORP. WILMINGTON DE XXXX1009",-21.58,P211195285,
21119-3996-135,04-28-2024,Business Platinum Card®,04-28-2024,AIR TICKETS HUB 0000PARSIPPANY NJ XXXX9010,-349.78,P211195285,
21119-3996-139,12-03-2024,Chase Freedom,12-03-2024,ALLENDALE MOTORS,-83.13,P211195285,
21119-3996-140,01-08-2024,Business Platinum Card®,01-08-2024,ALLENDALE MOTORS ALLENDALE NJ XXXX9010,-83.13,P211195285,
21119-3996-734,07-09-2025,Business Platinum Card®,07-09-2025,AMC,-24.79,P211195285,
21119-3996-754,06-18-2025,Chase Freedom,06-18-2025,AMY'S BREAD,-40.30,P211195285,
21119-3996-755,06-18-2025,Chase Freedom,06-18-2025,AMY'S BREAD,-7.25,P211195285,
21119-3996-756,10-05-2025,Chase Slate,10-05-2025,AMY'S BREAD,-23.83,P211195285,
21119-3996-757,07-11-2023,Business Platinum Card®,07-11-2023,AMY'S BREAD New York NY XXXX9010,-28.13,P211195285,
21119-3996-758,02-08-2024,Business Platinum Card®,02-08-2024,ANGI NEW YORK NY XXXX1009,-29.99,P211195285,
21119-3996-759,04-02-2023,Chase Bonvoy - old,04-02-2023,ANNUAL MEMBERSHIP FEE,-95.00,P211195285,
21119-3996-760,04-01-2024,Chase Bonvoy - old,04-01-2024,ANNUAL MEMBERSHIP FEE,-95.00,P211195285,
21119-3996-761,04-01-2025,Chase Bonvoy - old,04-01-2025,ANNUAL MEMBERSHIP FEE,-95.00,P211195285,
21119-3996-765,10-27-2024,Business Platinum Card®,10-27-2024,ANTHROPIC SAN FRANCISCO CA XXXX1009,-10.89,P211195285,
21119-3996-766,10-27-2024,Business Platinum Card®,10-27-2024,ANTHROPIC SAN FRANCISCO CA XXXX1009,-10.90,P211195285,
21119-3996-767,08-13-2023,Business Platinum Card®,08-13-2023,APETROPICS XXXXX2313LAS VEGAS NV XXXX1009,-39.00,P211195285,
21119-3996-768,08-13-2023,Business Platinum Card®,08-13-2023,APETROPICS XXXXX2313LAS VEGAS NV XXXX1009,-98.82,P211195285,
21119-3996-769,09-29-2023,Business Platinum Card®,09-29-2023,APETROPICS XXXXX2313LAS VEGAS NV XXXX1009,-98.82,P211195285,
21119-3996-770,11-13-2023,Business Platinum Card®,11-13-2023,APETROPICS XXXXX2313LAS VEGAS NV XXXX1009,-98.82,P211195285,
21119-3996-771,12-28-2023,Business Platinum Card®,12-28-2023,APETROPICS XXXXX2313LAS VEGAS NV XXXX1009,-98.82,P211195285,
21119-3996-772,02-11-2024,Business Platinum Card®,02-11-2024,APETROPICS XXXXX2313LAS VEGAS NV XXXX1009,-98.82,P211195285,
21119-3996-773,03-27-2024,Business Platinum Card®,03-27-2024,APETROPICS XXXXX2313LAS VEGAS NV XXXX1009,-98.82,P211195285,
21119-3996-774,05-11-2024,Business Platinum Card®,05-11-2024,APETROPICS XXXXX2313LAS VEGAS NV XXXX1009,-98.82,P211195285,
21119-3996-775,06-25-2024,Business Platinum Card®,06-25-2024,APETROPICS XXXXX2313LAS VEGAS NV XXXX1009,-98.82,P211195285,
21119-3996-1554,02-16-2023,Chase business checking,02-16-2023,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1555,03-16-2023,Chase business checking,03-16-2023,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1556,04-17-2023,Chase business checking,04-17-2023,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1557,05-16-2023,Chase business checking,05-16-2023,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1558,06-16-2023,Chase business checking,06-16-2023,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1559,07-17-2023,Chase business checking,07-17-2023,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1560,08-16-2023,Chase business checking,08-16-2023,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1561,09-18-2023,Chase business checking,09-18-2023,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1562,10-16-2023,Chase business checking,10-16-2023,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1563,11-16-2023,Chase business checking,11-16-2023,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1564,12-18-2023,Chase business checking,12-18-2023,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1565,01-16-2024,Chase business checking,01-16-2024,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1566,02-16-2024,Chase business checking,02-16-2024,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1567,03-18-2024,Chase business checking,03-18-2024,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1568,04-16-2024,Chase business checking,04-16-2024,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1569,05-16-2024,Chase business checking,05-16-2024,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1570,06-17-2024,Chase business checking,06-17-2024,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1571,07-16-2024,Chase business checking,07-16-2024,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1572,08-16-2024,Chase business checking,08-16-2024,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1573,09-16-2024,Chase business checking,09-16-2024,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1574,10-16-2024,Chase business checking,10-16-2024,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1575,11-18-2024,Chase business checking,11-18-2024,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1576,12-16-2024,Chase business checking,12-16-2024,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1577,01-16-2025,Chase business checking,01-16-2025,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1578,02-18-2025,Chase business checking,02-18-2025,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1579,03-17-2025,Chase business checking,03-17-2025,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1580,04-16-2025,Chase business checking,04-16-2025,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1581,05-16-2025,Chase business checking,05-16-2025,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1582,06-16-2025,Chase business checking,06-16-2025,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1583,07-16-2025,Chase business checking,07-16-2025,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1584,08-18-2025,Chase business checking,08-18-2025,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1585,09-16-2025,Chase business checking,09-16-2025,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1586,10-16-2025,Chase business checking,10-16-2025,APPLECARD GSBANK,-300.00,P211195285,
21119-3996-1587,05-26-2023,Business Platinum Card®,05-26-2023,ASKTRIM.COM WALNUT CA XXXX1009,-99.00,P211195285,
21119-3996-1588,03-14-2023,Business Platinum Card®,03-14-2023,ATRIUM PARK NEW YORK NY XXXX9010,-71.00,P211195285,
21119-3996-1627,01-28-2025,Business Platinum Card®,01-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-41.20,P211195285,
21119-3996-1628,01-28-2025,Business Platinum Card®,01-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-32.66,P211195285,
21119-3996-1629,01-28-2025,Business Platinum Card®,01-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-17.42,P211195285,
21119-3996-1630,01-28-2025,Business Platinum Card®,01-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-11.98,P211195285,
21119-3996-1631,02-28-2025,Business Platinum Card®,02-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-17.42,P211195285,
21119-3996-1632,02-28-2025,Business Platinum Card®,02-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-11.98,P211195285,
21119-3996-1633,02-28-2025,Business Platinum Card®,02-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-41.20,P211195285,
21119-3996-1634,02-28-2025,Business Platinum Card®,02-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-32.66,P211195285,
21119-3996-1635,03-28-2025,Business Platinum Card®,03-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-32.66,P211195285,
21119-3996-1636,03-28-2025,Business Platinum Card®,03-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-17.42,P211195285,
21119-3996-1637,03-28-2025,Business Platinum Card®,03-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-41.20,P211195285,
21119-3996-1638,03-28-2025,Business Platinum Card®,03-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-11.98,P211195285,
21119-3996-1639,04-28-2025,Business Platinum Card®,04-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-11.98,P211195285,
21119-3996-1640,04-28-2025,Business Platinum Card®,04-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-32.66,P211195285,
21119-3996-1641,04-28-2025,Business Platinum Card®,04-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-41.20,P211195285,
21119-3996-1642,04-28-2025,Business Platinum Card®,04-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-17.42,P211195285,
21119-3996-1643,05-28-2025,Business Platinum Card®,05-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-17.42,P211195285,
21119-3996-1644,05-28-2025,Business Platinum Card®,05-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-32.66,P211195285,
21119-3996-1645,05-28-2025,Business Platinum Card®,05-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-11.98,P211195285,
21119-3996-1646,05-28-2025,Business Platinum Card®,05-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-41.20,P211195285,
21119-3996-1647,06-28-2025,Business Platinum Card®,06-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-32.66,P211195285,
21119-3996-1648,06-28-2025,Business Platinum Card®,06-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-17.42,P211195285,
21119-3996-1649,06-28-2025,Business Platinum Card®,06-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-11.98,P211195285,
21119-3996-1650,06-28-2025,Business Platinum Card®,06-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-41.20,P211195285,
21119-3996-1651,07-28-2025,Business Platinum Card®,07-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-41.20,P211195285,
21119-3996-1652,07-28-2025,Business Platinum Card®,07-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-11.98,P211195285,
21119-3996-1653,07-28-2025,Business Platinum Card®,07-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-17.42,P211195285,
21119-3996-1654,07-28-2025,Business Platinum Card®,07-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-32.66,P211195285,
21119-3996-1655,08-28-2025,Business Platinum Card®,08-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-11.98,P211195285,
21119-3996-1656,08-28-2025,Business Platinum Card®,08-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-17.42,P211195285,
21119-3996-1657,08-28-2025,Business Platinum Card®,08-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-41.20,P211195285,
21119-3996-1658,08-28-2025,Business Platinum Card®,08-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-32.66,P211195285,
21119-3996-1659,09-28-2025,Business Platinum Card®,09-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-32.66,P211195285,
21119-3996-1660,09-28-2025,Business Platinum Card®,09-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-11.98,P211195285,
21119-3996-1661,09-28-2025,Business Platinum Card®,09-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-17.42,P211195285,
21119-3996-1662,09-28-2025,Business Platinum Card®,09-28-2025,AXX10BUSD01 MSBILL.INFO XXXX1009,-41.20,P211195285,
21119-3996-52,05-14-2025,Business Platinum Card®,05-14-2025,Academia,-149.00,P211195285,
21119-3996-57,11-10-2024,Chase Freedom,11-10-2024,Ace Hardware,-28.00,P211195285,
21119-3996-58,12-03-2024,Business Platinum Card®,12-03-2024,Acme,-177.97,P211195285,
21119-3996-64,06-16-2025,Chase Freedom,06-16-2025,Adams Market,-50.88,P211195285,
21119-3996-65,07-16-2025,Chase Freedom,07-16-2025,Adams Market,-22.60,P211195285,
21119-3996-66,08-28-2025,Chase Slate,08-28-2025,Adams Market,-14.12,P211195285,
21119-3996-67,10-30-2024,Business Platinum Card®,10-30-2024,Adj Fin Chg,9.69,P211195285,
21119-3996-68,11-03-2024,Business Platinum Card®,11-03-2024,Adj Fin Chg,30.90,P211195285,
21119-3996-69,03-29-2025,Business Platinum Card®,03-29-2025,Adj Fin Chg,0.13,P211195285,
21119-3996-70,08-21-2025,Savor,08-21-2025,Adjustment,2.99,P211195285,
21119-3996-71,09-17-2025,Quicksilver,09-17-2025,Adjustment,1792.99,P211195285,
21119-3996-72,09-17-2025,Quicksilver,09-17-2025,Adjustment,3734.99,P211195285,
21119-3996-100,07-04-2025,Business Platinum Card®,07-04-2025,Adobe Systems,-7.61,P211195285,
21119-3996-101,08-04-2025,Business Platinum Card®,08-04-2025,Adobe Systems,-7.61,P211195285,
21119-3996-102,09-04-2025,Business Platinum Card®,09-04-2025,Adobe Systems,-7.61,P211195285,
21119-3996-103,10-04-2025,Business Platinum Card®,10-04-2025,Adobe Systems,-7.61,P211195285,
21119-3996-83,11-01-2023,Business Platinum Card®,11-01-2023,Adobe Systems,-10.88,P211195285,
21119-3996-84,11-06-2023,Business Platinum Card®,11-06-2023,Adobe Systems,-391.82,P211195285,
21119-3996-85,02-01-2024,Business Platinum Card®,02-01-2024,Adobe Systems,-10.88,P211195285,
21119-3996-86,03-01-2024,Business Platinum Card®,03-01-2024,Adobe Systems,-10.88,P211195285,
21119-3996-87,08-04-2024,Business Platinum Card®,08-04-2024,Adobe Systems,-7.61,P211195285,
21119-3996-88,09-04-2024,Business Platinum Card®,09-04-2024,Adobe Systems,-7.61,P211195285,
21119-3996-89,10-04-2024,Business Platinum Card®,10-04-2024,Adobe Systems,-7.61,P211195285,
21119-3996-90,11-04-2024,Business Platinum Card®,11-04-2024,Adobe Systems,-7.61,P211195285,
21119-3996-91,11-06-2024,Business Platinum Card®,11-06-2024,Adobe Systems,-718.44,P211195285,
21119-3996-92,12-04-2024,Business Platinum Card®,12-04-2024,Adobe Systems,-7.61,P211195285,
21119-3996-93,01-04-2025,Business Platinum Card®,01-04-2025,Adobe Systems,-7.61,P211195285,
21119-3996-94,02-04-2025,Business Platinum Card®,02-04-2025,Adobe Systems,-7.61,P211195285,
21119-3996-95,03-04-2025,Business Platinum Card®,03-04-2025,Adobe Systems,-7.61,P211195285,
21119-3996-96,04-04-2025,Business Platinum Card®,04-04-2025,Adobe Systems,-7.61,P211195285,
21119-3996-97,05-04-2025,Business Platinum Card®,05-04-2025,Adobe Systems,-7.61,P211195285,
21119-3996-98,05-29-2025,Blue Business Cash(TM),05-29-2025,Adobe Systems,-21.76,P211195285,
